sample_id,title,disease_status,tissue,platform
GSM13761106,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761107,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761108,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761109,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761110,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761111,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761112,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761113,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761114,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761115,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761116,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761117,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761118,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761119,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761120,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761121,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761122,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761123,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761124,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761125,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761126,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761127,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761128,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761129,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761130,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761131,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761132,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761133,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761134,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761135,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761136,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761137,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761138,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761139,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
GSM13761140,Normal lung tissue RNA-Seq,Normal,lung,GPL11154
